id,name,link,link_image
176371,GLAMIRA Ring Rectre,https://www.glamira.com/glamira-ring-rectre.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rectre-r35/diamond/labdiamond_AAAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/yellow.jpg
176369,GLAMIRA Ring Raproqo,https://www.glamira.com/glamira-ring-raproqo.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/raproqo-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176373,GLAMIRA Ring Relan,https://www.glamira.com/glamira-ring-relan.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/relan-r35/diamond/labdiamond_AAAA/alloycolour/white_yellow.jpg
176368,GLAMIRA Ring Racents,https://www.glamira.com/glamira-ring-racents.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/racents-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176370,GLAMIRA Ring Rasionosi,https://www.glamira.com/glamira-ring-rasionosi.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rasionosi-r35/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
176372,GLAMIRA Ring Rehe,https://www.glamira.com/glamira-ring-rehe.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rehe-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176367,GLAMIRA Ring Quivi,https://www.glamira.com/glamira-ring-quivi.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/quivi-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176366,GLAMIRA Ring Quirky,https://www.glamira.com/glamira-ring-quirky.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/quirky-r35/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
176374,GLAMIRA Ring Relancy,https://www.glamira.com/glamira-ring-relancy.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/relancy-r35/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
176375,GLAMIRA Ring Relibunbol,https://www.glamira.com/glamira-ring-relibunbol.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/relibunbol-r35/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
176378,GLAMIRA Ring Reuwas,https://www.glamira.com/glamira-ring-reuwas.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/reuwas-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176376,GLAMIRA Ring Replitzer,https://www.glamira.com/glamira-ring-replitzer.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/replitzer-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176380,GLAMIRA Ring Rihsup,https://www.glamira.com/glamira-ring-rihsup.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rihsup-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176381,GLAMIRA Ring Ringes,https://www.glamira.com/glamira-ring-ringes.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ringes-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176382,GLAMIRA Ring Ripted,https://www.glamira.com/glamira-ring-ripted.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ripted-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176379,GLAMIRA Ring Ricu,https://www.glamira.com/glamira-ring-ricu.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ricu-r35/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/yellow.jpg
176377,GLAMIRA Ring Retig,https://www.glamira.com/glamira-ring-retig.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/retig-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176383,GLAMIRA Ring Riston,https://www.glamira.com/glamira-ring-riston.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/riston-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176384,GLAMIRA Ring Rivene,https://www.glamira.com/glamira-ring-rivene.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rivene-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
176385,GLAMIRA Ring Rmundl,https://www.glamira.com/glamira-ring-rmundl.html,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/rmundl-r35/diamond/labdiamond_AAAA/alloycolour/yellow.jpg
